Feature,Family,ConsensusRank,ConsensusScore,BaseConsensusScore,GroupedStabilityFreq,GroupedPermutation,GWO_CandidateFreq,FamilyPriority,Methods_Selected_TopK,MeanRank,MI,MI_Rank,L1AbsCoef,L1AbsCoef_Rank,RFImportance,RFImportance_Rank,ExtraTreesImportance,ExtraTreesImportance_Rank,XGBImportance,XGBImportance_Rank,UnivariateSignal,UnivariateSignal_Rank
VEH_新能源车辆电池包损坏情况_BATDAM_MISSING_OR_UNKNOWN,other,49,0.49977622667632815,0.8618780557952257,0.2,0.019533424769791825,0.0,0.25,1,321.1666666666667,0.005985220253704959,854.0,0.2781851008531807,27.0,0.0007972738921899046,215.0,0.0009350299045760624,247.0,0.0,252.0,0.2562985354334751,332.0
道路类型_STRART_23-城市道路_次干路,road_type,50,0.4955524877768191,0.8188812194420477,0.2,0.0,0.0,0.8,2,420.8333333333333,0.0,1389.0,0.021858481093141098,562.0,0.003852114852236744,50.0,0.005664970214253076,30.0,0.00445964140817523,62.0,0.1922119860000823,432.0
年龄段_ALTERG_11-71岁以上的老人,age,51,0.49383951682484906,0.8845987920621226,0.0,0.0,0.5,0.7,1,268.5,0.009435320632841693,571.0,0.07020230113802882,325.0,0.002811197182792789,72.0,0.004508041490075124,52.0,0.0,252.0,0.25021419307728515,339.0
VEH_本次碰撞前是否转向_STEERING_1-未转向,crash_type,52,0.4915389703767616,0.846347425941904,0.2,0.0,0.0,0.7,1,357.1666666666667,0.005179555470751662,923.0,0.2615096273138453,34.0,0.000519734377857455,292.0,0.0008550684971257888,262.0,0.0,252.0,0.22586504148252454,380.0
VEH_第一轴右侧轮胎生产年份_TIREYE1R_2021-2021,other,53,0.49100640822019925,0.8788467069312627,0.06666666666666667,0.004486218543332847,1.0,0.25,0,281.8333333333333,0.016133230509424168,209.0,0.08922035843771987,262.0,0.0003424899802847042,391.0,0.0004907556884780442,375.0,0.004090307746082544,76.0,0.22766241915154853,378.0
VEH_车道变更警告_SPURWAW1_2-无,lane,54,0.4899203584062133,0.8664797238999138,0.0,0.003042316696455586,0.5,0.65,0,310.5,0.0161219647039188,210.0,0.0,692.0,0.0014593536892548644,152.0,0.0019829992537457562,149.0,0.0,252.0,0.20435567857496886,408.0
道路表面_STRZB1_3-好，新路,other,55,0.4883742328457122,0.8958153580672995,0.0,0.02600188468657653,0.0,0.25,1,242.5,0.02159879814508514,85.0,0.0,692.0,0.0008429404570407621,211.0,0.0011750430950132338,203.0,0.0,252.0,0.33776813703805525,12.0
路灯_STRABEL_0-无路灯,light,56,0.487379206212252,0.8996980155306299,0.0,0.0,0.0,0.85,1,233.5,0.025816886440568343,29.0,0.041423228634234394,461.0,0.001881409209076238,110.0,0.0023978161274896266,121.0,0.0,252.0,0.19430676564386543,428.0
VEH_照明系统类型-近光灯_SWARTA1_MISSING_OR_UNKNOWN,light,57,0.48609419039401786,0.8564854759850445,0.06666666666666667,0.0,0.0,0.85,2,333.6666666666667,0.023815608790669796,48.0,0.0,692.0,0.00017281287151692574,585.0,0.0004930632440609224,374.0,0.0,252.0,0.3292359465660748,51.0
VEH_护栏导轨类型_SPLANKE_0-不适用,other,58,0.48605479893152015,0.8838078803566293,0.06666666666666667,0.002537489853127776,1.0,0.25,2,270.3333333333333,0.023626541579124583,51.0,0.0,692.0,0.0004290036447473281,332.0,0.0008167384062623399,273.0,0.0,252.0,0.33151675486306154,22.0
人员类型_PTYPE_2-乘员,other,59,0.48304501006614897,0.9138625251653725,0.3333333333333333,0.0,0.0,0.25,3,200.66666666666666,0.01793307494504459,161.0,0.0,692.0,0.00476516399264767,35.0,0.0076763671363918795,14.0,0.006799101829528809,22.0,0.2975961016112218,280.0
VEH_照明系统类型-近光灯_SWARTA1_4-卤素灯,light,60,0.48103235547886103,0.8438308886971525,0.06666666666666667,0.0,0.0,0.85,0,363.0,0.018839746622692388,139.0,0.0,692.0,0.00019988643702972532,531.0,0.0006378828896777237,316.0,0.0024031014181673527,208.0,0.28986509332897087,292.0
VEH_技术缺陷_TECHMAN_2-否,other,61,0.4790076215127984,0.888769053781996,0.06666666666666667,0.0,1.0,0.25,1,258.8333333333333,0.019399045042904017,126.0,0.0,692.0,0.000563155190107314,279.0,0.0012860273125780038,191.0,0.0,252.0,0.33380448688363024,13.0
路灯_STRABEL_4-关闭,light,62,0.4780559249386806,0.8667673281564566,0.0,0.0010813955224521221,0.0,0.85,0,309.8333333333333,0.016519336458526768,198.0,0.0,692.0,0.001868577261160436,112.0,0.003022667328498042,92.0,0.0013274321099743247,238.0,0.15324142452991513,527.0
VEH_车辆内部噪声_AKUSTIK1_3-低噪声水平,other,63,0.4775430741998159,0.9244319815933276,0.0,0.00990937573998931,0.5,0.25,2,176.16666666666666,0.029872985050382272,11.0,0.18998041120490455,77.0,0.0005395054844904282,287.0,0.0006028816867557164,326.0,0.005530985072255135,35.0,0.2728717085244345,321.0
主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,safety,64,0.4765633244990816,0.862093758987633,0.0,0.0032944325945339172,0.0,0.8,0,320.6666666666667,0.01325028034543596,314.0,0.12988482148317468,161.0,0.0006072496430831069,263.0,0.0007010186670517671,304.0,0.0,252.0,0.11861297822753054,630.0
