Candidate_Feature,Family,Missing_Category_Type,Semantic_Group,Source_Group,ConsensusRank,ConsensusScore,Selected,Excluded_As_Redundant,Excluded_As_Raw_Age_Column,Excluded_As_Pure_Missing_Unknown,Replaced_By,Reason
VEH_是否与护栏碰撞_BARRCOLLI_2-否,crash_type,not_missing_category,other_unique:VEH_是否与护栏碰撞_BARRCOLLI,VEH_是否与护栏碰撞_BARRCOLLI,24,0.5404596019226044,0,0,0,0,,
VEH_车高_HOEHE,vehicle_size,not_missing_category,vehicle_geometry_height,HOEHE,25,0.5391521426517112,1,0,0,0,,mandatory_family_min:vehicle_size
FEATURE_Age_Group_老年_60,age,not_missing_category,age_over60,FEATURE_Age_Group,26,0.5369181175496199,0,1,0,0,FEATURE_Age_Over60,age_group_replaced_by_semantic_age_over60_feature
人员类型_PTYPE_1-驾驶员,other,not_missing_category,person_type,PTYPE,27,0.5359339752592305,0,0,0,0,,
道路类型_STRART_MISSING_OR_UNKNOWN,road_type,pure_missing_unknown,unknown_missing_category,STRART,28,0.5342249065286166,0,0,0,1,,pure_missing_unknown_excluded
VEH_FEATURE_Speed_Group_高速_50,other,not_missing_category,other_unique:VEH_FEATURE_Speed_Group_高速,VEH_FEATURE_Speed_Group_高速,29,0.5290766613956954,0,0,0,0,,
VEH_第一轴左侧轮胎胎面状态_TIREDA1L_1-未损坏,other,not_missing_category,other_unique:VEH_第一轴左侧轮胎胎面状态_TIREDA1L,VEH_第一轴左侧轮胎胎面状态_TIREDA1L,30,0.52719535639076,0,0,0,0,,
VEH_碰撞前平均制动减速度_BV,crash_type,not_missing_category,other_unique:VEH_碰撞前平均制动减速度,VEH_碰撞前平均制动减速度,31,0.5264437733678459,0,0,0,0,,
VEH_FEATURE_Speed_Group_低速_≤30,other,not_missing_category,other_unique:VEH_FEATURE_Speed_Group_低速,VEH_FEATURE_Speed_Group_低速,32,0.5252657474294047,0,0,0,0,,
事故现场道路环境_STFUHO_13-普通路段,road_env,not_missing_category,road_environment_type,STFUHO,33,0.5247758124820248,0,1,0,0,事故现场道路环境_STFUHO_4-环形交叉,semantic_group_cap
VEH_碰撞角度_KWINK,crash_type,not_missing_category,other_unique:VEH_碰撞角度,VEH_碰撞角度,34,0.5235389703767616,0,0,0,0,,
FEATURE_Age_Group_青壮年_18-60,age,not_missing_category,age_over60,FEATURE_Age_Group,35,0.5228647148215729,0,1,0,0,FEATURE_Age_Over60,age_group_replaced_by_semantic_age_over60_feature
性别_GESCHL_4-女性,bio,not_missing_category,sex,GESCHL,36,0.5197648835202762,0,0,0,0,,
VEH_车长_LAENGE,vehicle_size,not_missing_category,vehicle_geometry_length,LAENGE,37,0.5186367558239862,1,0,0,0,,consensus_fill_under_family_cap
道路类型_STRART_15-公路_四级公路,road_type,not_missing_category,other_unique:STRART,STRART,38,0.5170169686511361,1,0,0,0,,consensus_fill_under_family_cap
VEH_车宽_BREITE,vehicle_size,not_missing_category,vehicle_geometry_width,BREITE,39,0.5150129421915445,1,0,0,0,,consensus_fill_under_family_cap
VEH_碰撞时的总重_GEWGES,vehicle_mass,not_missing_category,vehicle_mass,GEWGES,40,0.5142512490530984,1,0,0,0,,consensus_fill_under_family_cap
VEH_碰撞预警_COLLWARN1_9-未知,crash_type,pure_missing_unknown,unknown_missing_category,VEH_碰撞预警_COLLWARN1,41,0.5136453839516825,0,0,0,1,,pure_missing_unknown_excluded
VEH_本次碰撞前是否制动_BRAKEBEF_1-未制动,crash_type,not_missing_category,other_unique:VEH_本次碰撞前是否制动_BRAKEBEF,VEH_本次碰撞前是否制动_BRAKEBEF,42,0.5109173865182076,0,0,0,0,,
不同行驶方向车道的隔离方法_MARK_11-防撞栏,lane,not_missing_category,other_unique:MARK,MARK,43,0.5088851519506987,1,0,0,0,,consensus_fill_under_family_cap
体重_GEWP,bio,not_missing_category,weight_body_size,GEWP,44,0.5081169111302848,0,0,0,0,,
先期疾病1_VORKR1_2-无,other,not_missing_category,other_unique:先期疾病1_VORKR1,先期疾病1_VORKR1,45,0.5071633164013823,0,0,0,0,,
