Candidate_Feature,Family,Missing_Category_Type,Semantic_Group,Source_Group,ConsensusRank,ConsensusScore,Selected,Excluded_As_Redundant,Excluded_As_Raw_Age_Column,Excluded_As_Pure_Missing_Unknown,Replaced_By,Reason
沿道路方向的倾斜趋势_NEIGUNG_9-未知,other,pure_missing_unknown,unknown_missing_category,沿道路方向的倾斜趋势_NEIGUNG,46,0.5067848716636698,0,0,0,1,,pure_missing_unknown_excluded
酒精作用_MEDALK_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,酒精作用_MEDALK_MISSING_OR,47,0.5019941123275367,0,0,0,1,,pure_missing_unknown_excluded
事故碰撞总次数_ACCICOLLINO_1-1,crash_type,not_missing_category,other_unique:事故碰撞总次数_ACCICOLLINO,事故碰撞总次数_ACCICOLLINO,48,0.5010240600462819,0,0,0,0,,
VEH_新能源车辆电池包损坏情况_BATDAM_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_新能源车辆电池包损坏情况_BATDAM_MISSING_OR,49,0.49977622667632815,0,0,0,1,,pure_missing_unknown_excluded
道路类型_STRART_23-城市道路_次干路,road_type,not_missing_category,other_unique:STRART,STRART,50,0.4955524877768191,0,0,0,0,,
年龄段_ALTERG_11-71岁以上的老人,age,not_missing_category,age_elderly_group,ALTERG,51,0.49383951682484906,0,1,0,0,FEATURE_Age_Over60,age_group_alias_replaced_by_semantic_age_over60_feature
VEH_本次碰撞前是否转向_STEERING_1-未转向,crash_type,not_missing_category,other_unique:VEH_本次碰撞前是否转向_STEERING,VEH_本次碰撞前是否转向_STEERING,52,0.4915389703767616,0,0,0,0,,
VEH_第一轴右侧轮胎生产年份_TIREYE1R_2021-2021,other,not_missing_category,other_unique:VEH_第一轴右侧轮胎生产年份_TIREYE1R,VEH_第一轴右侧轮胎生产年份_TIREYE1R,53,0.49100640822019925,0,0,0,0,,
VEH_车道变更警告_SPURWAW1_2-无,lane,not_missing_category,other_unique:VEH_车道变更警告_SPURWAW1,VEH_车道变更警告_SPURWAW1,54,0.4899203584062133,0,0,0,0,,
道路表面_STRZB1_3-好，新路,other,not_missing_category,other_unique:道路表面_STRZB1,道路表面_STRZB1,55,0.4883742328457122,0,0,0,0,,
路灯_STRABEL_0-无路灯,light,not_missing_category,lighting_visibility,路灯_STRABEL,56,0.487379206212252,1,0,0,0,,mandatory_family_min:light
VEH_照明系统类型-近光灯_SWARTA1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_照明系统类型-近光灯_SWARTA1_MISSING_OR,57,0.48609419039401786,0,0,0,1,,pure_missing_unknown_excluded
VEH_护栏导轨类型_SPLANKE_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_护栏导轨类型_SPLANKE,58,0.48605479893152015,0,0,0,1,,pure_missing_unknown_excluded
人员类型_PTYPE_2-乘员,other,not_missing_category,person_type,PTYPE,59,0.48304501006614897,0,0,0,0,,
VEH_照明系统类型-近光灯_SWARTA1_4-卤素灯,light,not_missing_category,lighting_visibility,VEH_照明系统类型-近光灯_SWARTA1,60,0.48103235547886103,0,0,0,0,,
VEH_技术缺陷_TECHMAN_2-否,other,not_missing_category,other_unique:VEH_技术缺陷_TECHMAN,VEH_技术缺陷_TECHMAN,61,0.4790076215127984,0,0,0,0,,
路灯_STRABEL_4-关闭,light,not_missing_category,lighting_visibility,路灯_STRABEL,62,0.4780559249386806,0,0,0,0,,
VEH_车辆内部噪声_AKUSTIK1_3-低噪声水平,other,not_missing_category,other_unique:VEH_车辆内部噪声_AKUSTIK1,VEH_车辆内部噪声_AKUSTIK1,63,0.4775430741998159,0,0,0,0,,
主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,safety,not_missing_category,safety_assistance,ACSCE,64,0.4765633244990816,1,0,0,0,,mandatory_family_min:safety
事故参与人数_ANZPERS_2-2,other,not_missing_category,other_unique:事故参与人数_ANZPERS,事故参与人数_ANZPERS,65,0.4763401861937465,0,0,0,0,,
主动安全场景_ACSCE_MISSING_OR_UNKNOWN,safety,pure_missing_unknown,unknown_missing_category,ACSCE,66,0.47291585764114197,0,0,0,1,,pure_missing_unknown_excluded
先期疾病2_VORKR2_2-无,other,not_missing_category,other_unique:先期疾病2_VORKR2,先期疾病2_VORKR2,67,0.46786805634033746,0,0,0,0,,
VEH_与护栏碰撞的事故类型_PLANKEK_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_与护栏碰撞的事故类型_PLANKEK_MISSING_OR,68,0.46731348863963185,0,0,0,1,,pure_missing_unknown_excluded
先期疾病3_VORKR3_2-无,other,not_missing_category,other_unique:先期疾病3_VORKR3,先期疾病3_VORKR3,69,0.4668327581248202,0,0,0,0,,
VEH_整备质量_LGEW,other,not_missing_category,other_unique:VEH_整备质量,VEH_整备质量,70,0.46668941220000437,0,0,0,0,,
VEH_智能前大灯控制_FLICHTASS1_2-无,light,not_missing_category,lighting_visibility,VEH_智能前大灯控制_FLICHTASS1,71,0.4660389703767616,0,0,0,0,,
VEH_车道保持系统_SPURHAE1_9-未知,lane,pure_missing_unknown,unknown_missing_category,VEH_车道保持系统_SPURHAE1,72,0.46287129709519703,0,0,0,1,,pure_missing_unknown_excluded
VEH_新能源车辆电池包损坏情况_BATDAM_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_新能源车辆电池包损坏情况_BATDAM,73,0.46260836775392733,0,0,0,1,,pure_missing_unknown_excluded
公路分类_STRKL_4-省道,road_type,not_missing_category,other_unique:STRKL,STRKL,74,0.46199942479148687,0,0,0,0,,
碰撞前的行驶方向_FZGRI_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,碰撞前的行驶方向_FZGRI_MISSING_OR,75,0.46163848144952546,0,0,0,1,,pure_missing_unknown_excluded
事故路段车流量_VSTUFE_3-较多车辆,road_env,not_missing_category,other_unique:事故路段车流量_VSTUFE,事故路段车流量_VSTUFE,76,0.4604111302847283,0,0,0,0,,
行驶车辆所在车道_FSTREIF_31-使用右/直车道直行,lane,not_missing_category,other_unique:行驶车辆所在车道_FSTREIF,行驶车辆所在车道_FSTREIF,77,0.4594384526890998,0,0,0,0,,
VEH_本次碰撞前的小碰撞_SMIMPCT_0-未碰撞,crash_type,not_missing_category,other_unique:VEH_本次碰撞前的小碰撞_SMIMPCT,VEH_本次碰撞前的小碰撞_SMIMPCT,78,0.4592513661202186,0,0,0,0,,
VEH_自动紧急制动系统_AEB1_1-有，具体未知,safety,partial_unknown_detail,safety_assistance,VEH_自动紧急制动系统_AEB1,79,0.4591233822260569,0,0,0,0,,
VEH_是否与柱状物碰撞_COLUCOLLI_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_是否与柱状物碰撞_COLUCOLLI_MISSING_OR,80,0.45907880356629277,0,0,0,1,,pure_missing_unknown_excluded
VEH_照明系统类型-远光灯_SWARTF1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_照明系统类型-远光灯_SWARTF1_MISSING_OR,81,0.45888682772505035,0,0,0,1,,pure_missing_unknown_excluded
FEATURE_Is_Night,light,not_missing_category,other_unique:FEATURE_Is,FEATURE_Is,82,0.4574580097785447,0,0,0,0,,
路灯类型_LAMPEN_0,light,not_missing_category,lighting_visibility,路灯类型_LAMPEN,83,0.456576790336497,0,0,0,0,,
FEATURE_Age_Group_未成年_18,age,not_missing_category,age_over60,FEATURE_Age_Group,84,0.45654788610871444,0,0,0,0,,
事故类型_UTYP_211-转弯-左转弯车辆与对向直线行驶车辆,crash_type,not_missing_category,crash_configuration_type,事故类型_UTYP,85,0.4564576125569303,0,0,0,0,,
VEH_第二轴右侧轮胎胎面状态_TIREDA2R_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_第二轴右侧轮胎胎面状态_TIREDA2R_MISSING_OR,86,0.455548134858747,0,0,0,1,,pure_missing_unknown_excluded
